time,kind,loadId,deviceId,department,page,buildId,totalMs,interactiveMs,firstSnapshotMs,label
"09/08/2026, 08:56:33",page_load,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786245992619,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,Coagulation,Coagulation,dev,1981.8000001907349,,,Coagulation load
"09/08/2026, 08:56:15",page_load,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786245973849,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,Engineering,Engineering,dev,5775,5775,,Engineering load
"09/08/2026, 08:54:18",page_load,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786245858684,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,Haematology,Haematology,dev,998.3000001907349,681.6000003814697,84.5,Haematology load
"09/08/2026, 08:51:39",page_load,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786245697202,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,Engineering,Engineering,dev,2845,2845,,Engineering load
"09/08/2026, 08:47:54",page_load,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786245469874,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,Registration,Mango,dev,5990.39999961853,883,52,Mango load
"09/08/2026, 08:39:56",page_load,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786244994240,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,Haematology,Haematology,dev,2806.199999809265,1710.1999998092651,1710.1999998092651,Haematology load
"09/08/2026, 05:30:00",timeout,07cb97b9-c5c9-4296-9d64-5f76b4752937_1786271958598,07cb97b9-c5c9-4296-9d64-5f76b4752937,Coagulation,Coagulation,dev,,,,critical_alerts timeouts 10s×207 30s×82
"09/08/2026, 05:30:00",timeout,07cb97b9-c5c9-4296-9d64-5f76b4752937_1786272119617,07cb97b9-c5c9-4296-9d64-5f76b4752937,Validator,Validator,dev,,,,haematology_register timeouts 10s×209 30s×84
"09/08/2026, 05:30:00",timeout,07cb97b9-c5c9-4296-9d64-5f76b4752937_1786271958598,07cb97b9-c5c9-4296-9d64-5f76b4752937,Coagulation,Coagulation,dev,,,,master_register timeouts 10s×207 30s×82
"09/08/2026, 05:30:00",timeout,07cb97b9-c5c9-4296-9d64-5f76b4752937_1786263258099,07cb97b9-c5c9-4296-9d64-5f76b4752937,Haematology,Haematology,dev,,,,page_load timeouts 10s×0 30s×59
"09/08/2026, 05:30:00",timeout,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786246087147,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,Biochemistry,Biochemistry,dev,,,,page_load timeouts 10s×0 30s×1582
